"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble","06",0.581330501822494,313.330444226299,0.709311353056203,486.890854817834,0.644230769230769,0.971153846153846,104
"CEPH-Rtrend_fluH","01",0.778155538259755,76.9971571906354,0.831594739736851,106.509615384615,0.413461538461538,0.759615384615385,104
"CEPH-Rtrend_fluH","02",1.07484821246486,9.72396739130435,1.09204787634934,14.5769230769231,0.240384615384615,0.721153846153846,104
"CEPH-Rtrend_fluH","04",0.728016337026593,243.029607023411,0.857120272751299,327.134615384615,0.509615384615385,0.817307692307692,104
"CEPH-Rtrend_fluH","05",0.764212258850808,49.0644105351171,0.766554326905942,64.9038461538462,0.423076923076923,0.826923076923077,104
"CEPH-Rtrend_fluH","06",0.795883456618713,435.797487458194,0.838078478226739,562.278846153846,0.326923076923077,0.730769230769231,104
"CEPH-Rtrend_fluH","08",0.717196902652255,66.1205518394649,0.706485660235791,82.9615384615385,0.509615384615385,0.826923076923077,104
"CEPH-Rtrend_fluH","09",0.461684531061738,29.5000376254181,0.503404127023034,43.4519230769231,0.596153846153846,0.923076923076923,104
"CEPH-Rtrend_fluH","10",0.880345754746518,25.0709698996656,0.898749940966038,31.5865384615385,0.480769230769231,0.740384615384615,104
"CEPH-Rtrend_fluH","11",0.763712341168247,25.3200919732441,0.828687286234239,33.4903846153846,0.326923076923077,0.663461538461538,104
"CEPH-Rtrend_fluH","12",0.906669836033421,370.266078595318,0.995002742732507,488.028846153846,0.182692307692308,0.701923076923077,104
"CEPH-Rtrend_fluH","13",0.684595067932138,116.201985785953,0.822502857675766,172.192307692308,0.307692307692308,0.826923076923077,104
"CEPH-Rtrend_fluH","15",0.949530001335476,12.914393812709,0.957775718266386,17.75,0.423076923076923,0.778846153846154,104
"CEPH-Rtrend_fluH","16",0.728667675126668,26.778106187291,0.812641408343905,39.0576923076923,0.355769230769231,0.817307692307692,104
"CEPH-Rtrend_fluH","17",0.730660598267355,214.797767558528,0.738610507186153,267.019230769231,0.586538461538462,0.778846153846154,104
"CEPH-Rtrend_fluH","18",0.572842907348303,135.679464882943,0.618047023186114,178.423076923077,0.528846153846154,0.788461538461538,104
"CEPH-Rtrend_fluH","19",0.514035105852839,34.9179974916388,0.566711753327299,48.2211538461538,0.576923076923077,0.875,104
"CEPH-Rtrend_fluH","20",0.697289315153414,47.6529515050167,0.723467555610285,62.75,0.432692307692308,0.759615384615385,104
"CEPH-Rtrend_fluH","21",0.731174245504317,108.649101170569,0.77948604943677,149.192307692308,0.317307692307692,0.807692307692308,104
"CEPH-Rtrend_fluH","22",0.899998570359164,69.605597826087,0.988290457752098,99.8269230769231,0.288461538461538,0.730769230769231,104
"CEPH-Rtrend_fluH","23",0.638107262842259,21.5644147157191,0.669351105888819,29.8942307692308,0.509615384615385,0.855769230769231,104
"CEPH-Rtrend_fluH","24",0.65975602579092,87.5163545150502,0.713018104405425,116.230769230769,0.307692307692308,0.721153846153846,104
"CEPH-Rtrend_fluH","25",0.657294426914346,124.278612040134,0.791185110921419,180.846153846154,0.326923076923077,0.836538461538462,104
"CEPH-Rtrend_fluH","26",0.748837778918156,158.947834448161,0.811534465268086,227.153846153846,0.365384615384615,0.826923076923077,104
"CEPH-Rtrend_fluH","27",0.638164913646447,104.70977006689,0.686659694702144,131.576923076923,0.442307692307692,0.759615384615385,104
"CEPH-Rtrend_fluH","28",0.779186181086819,42.6950418060201,0.89466568135304,63.875,0.375,0.807692307692308,104
"CEPH-Rtrend_fluH","29",0.88497511495541,147.512980769231,0.954436688447344,195.048076923077,0.375,0.701923076923077,104
"CEPH-Rtrend_fluH","30",0.738439134489033,19.1478720735786,0.794038440884203,27.8365384615385,0.384615384615385,0.798076923076923,104
"CEPH-Rtrend_fluH","31",0.588888119606707,25.8105769230769,0.650704026768536,35.0865384615385,0.596153846153846,0.855769230769231,104
"CEPH-Rtrend_fluH","32",0.710826751452703,26.3902633779264,0.80663773252355,40.4038461538462,0.375,0.865384615384615,104
"CEPH-Rtrend_fluH","33",0.761203770645414,31.9060576923077,0.840393066899026,42.7884615384615,0.432692307692308,0.740384615384615,104
"CEPH-Rtrend_fluH","34",0.518161844928277,129.274949832776,0.543272887287138,171.461538461538,0.538461538461538,0.855769230769231,104
"CEPH-Rtrend_fluH","35",0.936837891261449,33.5809949832776,0.958048888845556,48.9711538461538,0.355769230769231,0.817307692307692,104
"CEPH-Rtrend_fluH","36",0.60056615100471,234.146714046823,0.580347147763116,304.586538461538,0.644230769230769,0.836538461538462,104
"CEPH-Rtrend_fluH","37",0.513566390506772,141.720351170569,0.598462487102641,203.182692307692,0.451923076923077,0.865384615384615,104
"CEPH-Rtrend_fluH","38",0.686799895825281,9.28734113712375,0.735272642733445,13.5384615384615,0.394230769230769,0.875,104
"CEPH-Rtrend_fluH","39",0.604099535062197,294.592533444816,0.666300929572723,390.903846153846,0.519230769230769,0.721153846153846,104
"CEPH-Rtrend_fluH","40",0.733174856256334,79.2467642140468,0.786800850192701,104.346153846154,0.442307692307692,0.817307692307692,104
"CEPH-Rtrend_fluH","41",0.864841860236126,76.6722909698997,0.949809748944687,104.826923076923,0.355769230769231,0.788461538461538,104
"CEPH-Rtrend_fluH","42",0.646343821385813,395.064067725753,0.705222236927219,503.548076923077,0.413461538461538,0.701923076923077,104
"CEPH-Rtrend_fluH","44",0.721102415267206,17.162512541806,0.788522453568279,23.2884615384615,0.519230769230769,0.75,104
