"model_id","target_end_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",2025-05-03,0.871063271127857,29.5377082129768,1.79615617004538,57.019323863429,0,1,1
"CADPH-FluCAT_Ensemble",2025-05-10,0.459649556087798,15.4723037318111,0.684288215155719,19.826927373696,1,1,2
"CADPH-FluCAT_Ensemble",2025-05-17,0.400058155049586,17.3697152775837,0.513793857667753,21.9055461074693,1,1,3
"CADPH-FluCAT_Ensemble",2025-05-24,0.464374689534925,30.6750386485144,0.799858627676223,52.7983012245915,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-05-31,0.471177400130388,29.6240194483183,0.907949827697267,50.2826675739858,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-06-07,0.367751537220089,20.6223171102336,0.835882471401677,29.5460832348943,1,1,3
"CADPH-FluCAT_Ensemble",2025-06-14,0.382907808288446,24.7414736512872,0.947732228177703,30.7424842885775,1,1,2
"CADPH-FluCAT_Ensemble",2025-06-21,0.542783482356799,32.8497568426294,1.43428945344972,43.264128286508,1,1,1
"CEPH-Rtrend_fluH",2025-05-03,0.784787727809637,7.0910618729097,1.19834158279891,11.6730769230769,0.442307692307692,0.961538461538462,52
"CEPH-Rtrend_fluH",2025-05-10,0.643933842690646,7.95174331103679,0.941994654841864,12.0673076923077,0.673076923076923,0.923076923076923,104
"CEPH-Rtrend_fluH",2025-05-17,0.589122316008163,8.30230490523969,0.945112040181823,13.4807692307692,0.596153846153846,0.961538461538462,156
"CEPH-Rtrend_fluH",2025-05-24,0.594044078900104,8.73936454849498,1.06947990464286,14.2259615384615,0.557692307692308,0.956730769230769,208
"CEPH-Rtrend_fluH",2025-05-31,0.763906771888441,11.3010012541806,1.62494996476478,19.1298076923077,0.466346153846154,0.923076923076923,208
"CEPH-Rtrend_fluH",2025-06-07,0.639402031281677,9.84015328874024,1.78784322068915,17.2628205128205,0.391025641025641,0.942307692307692,156
"CEPH-Rtrend_fluH",2025-06-14,0.721646457872946,12.164393812709,2.24612583423759,20.3461538461538,0.288461538461538,0.903846153846154,104
"CEPH-Rtrend_fluH",2025-06-21,0.648429813097288,12.4179515050167,1.70327544836045,19.4807692307692,0.326923076923077,0.865384615384615,52
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-03,0.766812887739942,6.76680150842946,1.14171717461003,10.7244897959184,0.469387755102041,0.877551020408163,49
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-10,0.641295086786213,7.02085412599823,1.01166181194497,11.3775510204082,0.469387755102041,0.938775510204082,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-17,0.59005993661666,6.86680745341615,0.912133308754371,10.7091836734694,0.438775510204082,0.857142857142857,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-24,0.590938168531817,7.078096472937,0.967848131314974,10.765306122449,0.489795918367347,0.86734693877551,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-31,0.648304262660185,7.39316359804791,1.10562662300983,10.469387755102,0.489795918367347,0.857142857142857,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-06-07,0.499615709561579,6.83779716060337,1.1760574478697,10.3163265306122,0.387755102040816,0.918367346938776,49
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-03,1.00650128428776,8.87207240461402,1.48167879363551,13.9387755102041,0.510204081632653,0.938775510204082,49
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-10,0.766843697024924,8.59749651730257,1.17893373751807,13.5510204081633,0.540816326530612,0.989795918367347,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-17,0.582438370333682,6.75086488464951,0.894062545992083,10.5510204081633,0.561224489795918,0.989795918367347,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-24,0.644425805151624,7.58278225377107,1.04151730498572,11.4234693877551,0.540816326530612,0.908163265306122,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-31,0.89944134028463,10.2882749556344,1.66462668044729,15.8418367346939,0.510204081632653,0.928571428571429,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-06-07,1.33978171216748,19.9857350931677,3.20009724124765,30.5204081632653,0.469387755102041,0.918367346938776,49
"CMU-TimeSeries",2025-05-03,0.991020025317063,8.86650589862468,1.51733670591359,14.627991602818,0.653846153846154,0.961538461538462,52
"CMU-TimeSeries",2025-05-10,0.73779310806095,9.17542666963165,1.10618077760802,14.2619186077453,0.615384615384615,0.971153846153846,104
"CMU-TimeSeries",2025-05-17,0.586992679889859,8.30268872958638,0.966596038514516,13.8048982601886,0.551282051282051,0.961538461538462,156
"CMU-TimeSeries",2025-05-24,0.551944853196735,8.07859439713534,1.01589284070462,13.3660540910666,0.490384615384615,0.990384615384615,208
"CMU-TimeSeries",2025-05-31,0.697560458462085,10.4900877580574,1.46701945627962,17.3553876742941,0.394230769230769,0.956730769230769,208
"CMU-TimeSeries",2025-06-07,0.510485250961081,7.90437261322017,1.41061185374935,13.6277804706857,0.391025641025641,0.955128205128205,156
"CMU-TimeSeries",2025-06-14,0.516348544857017,8.73752294851753,1.6408872571443,14.8832560783896,0.317307692307692,0.913461538461538,104
"CMU-TimeSeries",2025-06-21,0.430656065078586,8.28441930268119,1.1793374988467,13.5895083001484,0.442307692307692,0.903846153846154,52
"CMU-climate_baseline",2025-05-03,2.00839407263905,18.0251274247492,3.19911819404953,30.9278846153846,0.769230769230769,1,52
