"model_id","reference_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",2025-05-03,0.434321796510603,25.1436587870411,0.823968515766162,44.5027647399758,0.75,1,4
"CADPH-FluCAT_Ensemble",2025-05-10,0.369165074312201,19.5695362356042,0.425950849952883,20.0811952045183,1,1,4
"CADPH-FluCAT_Ensemble",2025-05-17,0.394426419839025,25.3244076115292,0.86199070832228,45.3256180748123,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-05-24,0.53202671799925,32.5733355546663,1.35354369215524,59.0588960350672,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-05-31,0.54172184729199,21.8858991543055,0.85182292914516,23.0567856195975,1,1,4
"CEPH-Rtrend_fluH",2025-05-03,0.592069516662166,9.6266220735786,1.0137609131241,15.7163461538462,0.596153846153846,0.980769230769231,208
"CEPH-Rtrend_fluH",2025-05-10,0.597282510195374,9.692502090301,1.10175076466982,15.9519230769231,0.629807692307692,0.966346153846154,208
"CEPH-Rtrend_fluH",2025-05-17,0.626007881068691,8.76022575250836,1.40903740034941,14.9278846153846,0.480769230769231,0.971153846153846,208
"CEPH-Rtrend_fluH",2025-05-24,0.737795932745151,9.65609113712375,1.82039067452019,16.4086538461538,0.408653846153846,0.918269230769231,208
"CEPH-Rtrend_fluH",2025-05-31,0.783525739070751,10.8470903010033,1.68313176970496,17.4038461538462,0.322115384615385,0.841346153846154,208
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-03,0.493586552529705,7.26604549689441,0.834290334414786,11.6938775510204,0.489795918367347,0.918367346938776,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-10,0.58858344996063,7.1060554569654,1.06584162713697,11.2040816326531,0.448979591836735,0.897959183673469,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-17,0.560315197380087,6.69083535936114,1.12599043482681,10.3775510204082,0.469387755102041,0.857142857142857,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-24,0.639602343867444,7.54034849157054,1.32393379994626,10.8673469387755,0.510204081632653,0.857142857142857,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-31,0.574022681628045,6.55793618012422,1.09589997019322,9.69897959183673,0.397959183673469,0.887755102040816,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-03,0.682446962167621,10.1855843833185,1.1206378032252,15.9081632653061,0.530612244897959,0.959183673469388,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-10,0.530791207242276,6.4731240461402,0.92147141686831,10.0102040816327,0.581632653061224,1,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-17,0.603690205535617,7.06725749778172,1.20744904967323,10.9132653061224,0.530612244897959,0.959183673469388,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-24,0.734942995785855,8.5141376663709,1.64256440682319,13.3622448979592,0.489795918367347,0.908163265306122,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-31,1.26112955394145,15.4082187666371,2.47972229660796,23.4030612244898,0.510204081632653,0.918367346938776,98
"CMU-TimeSeries",2025-05-03,0.571531075188391,9.24277499809734,1.00133572925036,15.3563522894595,0.615384615384615,0.975961538461538,208
"CMU-TimeSeries",2025-05-10,0.586638031700105,9.63081909076925,1.07549947334099,15.6452949579262,0.538461538461538,0.971153846153846,208
"CMU-TimeSeries",2025-05-17,0.593314761583151,8.25800971452237,1.32364615760536,13.910855939596,0.432692307692308,0.966346153846154,208
"CMU-TimeSeries",2025-05-24,0.645567800750213,8.42509006080691,1.56353398043459,13.930806821513,0.365384615384615,0.947115384615385,208
"CMU-TimeSeries",2025-05-31,0.610472958269233,8.4114904075028,1.36871552599853,14.0796031238306,0.379807692307692,0.932692307692308,208
"CMU-climate_baseline",2025-05-03,0.990637604974495,16.0252513029543,1.65526864799492,25.359375,0.730769230769231,1,208
"CMU-climate_baseline",2025-05-10,0.971069255328737,15.2996334796544,1.68799642582487,23.5408653846154,0.692307692307692,1,208
"CMU-climate_baseline",2025-05-17,1.0195963364777,14.2475449693422,2.04742745062349,21.609375,0.682692307692308,0.995192307692308,208
"CMU-climate_baseline",2025-05-24,1.05867707460318,13.8398207636566,2.30972055816697,20.7127403846154,0.639423076923077,0.995192307692308,208
"CMU-climate_baseline",2025-05-31,1.00198255125633,13.5247429278149,1.98073643522666,20.0649038461538,0.629807692307692,0.980769230769231,208
"CU-ensemble",2025-05-03,0.592512561847522,9.62052675585284,0.705812509832124,10.9134615384615,0.875,1,208
"CU-ensemble",2025-05-17,0.594434997126763,8.29263586956522,0.897418230286473,9.49038461538461,0.913461538461538,1,208
"CU-ensemble",2025-05-24,0.641858290817655,8.44503762541806,1.37773404470991,12.4807692307692,0.889423076923077,1,208
"CU-ensemble",2025-05-31,0.575677039101682,7.87064590301003,1.14640029655785,11.8317307692308,0.5,0.966346153846154,208
"FluSight-baseline",2025-05-03,1,16.3439778428094,1,15.7067307692308,0.846153846153846,1,208
"FluSight-baseline",2025-05-10,1,15.9107107023411,1,14.3028846153846,0.884615384615385,1,208
"FluSight-baseline",2025-05-17,1,14.0808089464883,1,10.6634615384615,0.899038461538462,1,208
"FluSight-baseline",2025-05-24,1,13.1744878762542,1,8.89423076923077,0.923076923076923,1,208
"FluSight-baseline",2025-05-31,1,13.6400919732441,1,10.3221153846154,0.927884615384615,1,208
"FluSight-ensemble",2025-05-03,0.48261503593082,7.84215928093646,0.730538198275728,11.3701923076923,0.826923076923077,1,208
