"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_fluH","55",0.288001261958836,3.15230434782609,0.430849240354706,4.5,0.8,0.95,20
"CEPH-Rtrend_fluH","56",0.432888366433777,0.890608695652174,0.923822663004706,1.2,0.75,0.95,20
"CEPH-Rtrend_fluH","72",1.53568653374614,50.5376304347826,1.71958527678735,81.7,0.35,0.85,20
"CFA_Pyrenew-Pyrenew_HE_Flu","01",0.725511169742076,8.37628695652174,1.06086729454652,11.8,0.3,0.5,10
"CFA_Pyrenew-Pyrenew_HE_Flu","02",1.4836098414635,2.85248369565217,1.39023801319301,4.3,0.4,0.9,10
"CFA_Pyrenew-Pyrenew_HE_Flu","04",1.44755193097636,30.4643980434783,3.8055198842228,50.3,0.1,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","05",0.635510512420076,4.90677782608696,1.11042544874502,7,0.4,0.6,10
"CFA_Pyrenew-Pyrenew_HE_Flu","06",0.576246559591498,29.8090493478261,1.63728555759454,52.8,0.2,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","08",1.23459867101407,12.3740623913043,1.93011604809292,18.4,0.1,0.6,10
"CFA_Pyrenew-Pyrenew_HE_Flu","09",0.348524064013367,4.12972913043478,0.404091217066562,6.2,0.3,0.9,10
"CFA_Pyrenew-Pyrenew_HE_Flu","10",0.56846282256265,1.39169652173913,0.814998393441978,2.3,0.4,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","11",0.613193326812717,1.66857695652174,1.14694303860859,2.4,0.6,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","12",0.353186203953627,12.553475,0.903954178472057,18.4,0.5,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","13",0.332374720188994,5.00267108695652,0.945918086706278,7.8,0.5,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","15",0.994631072728328,4.64281152173913,0.953432228178066,7.55,0.3,0.8,10
