"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",0,0.741495269479426,208.30677909414,0.89690287231323,324.945118457362,0.576923076923077,0.961538461538462,26
"CADPH-FluCAT_Ensemble",1,0.588190244125551,275.570398273115,0.722938060706823,446.260231088595,0.653846153846154,0.961538461538462,26
"CADPH-FluCAT_Ensemble",2,0.537676171668244,361.902164537948,0.642800721525278,555.645863425467,0.692307692307692,0.961538461538462,26
"CADPH-FluCAT_Ensemble",3,0.489415187430913,407.542434999994,0.574104768074271,620.71220629991,0.653846153846154,1,26
"CEPH-Rtrend_fluH",0,0.86612299793924,67.8132293986637,0.928072439354401,89.5909428359317,0.357089829250186,0.705270972531552,1347
"CEPH-Rtrend_fluH",1,0.727086205321395,93.1744656402311,0.790596224445976,126.030438010393,0.455085374907201,0.808463251670379,1347
"CEPH-Rtrend_fluH",2,0.660603377006701,112.852431490268,0.72464796940911,153.022271714922,0.463994060876021,0.84112843355605,1347
"CEPH-Rtrend_fluH",3,0.634975694135498,137.033943061877,0.69194638329708,182.861915367483,0.438010393466964,0.828507795100223,1347
"CFA_Pyrenew-Pyrenew_HE_Flu",0,0.705903117624399,12.1999943824548,0.836285581470734,18.3734513274336,0.465486725663717,0.872566371681416,565
"CFA_Pyrenew-Pyrenew_HE_Flu",1,0.618639518131999,13.9153047133513,0.726084603868074,21.287610619469,0.483185840707965,0.906194690265487,565
"CFA_Pyrenew-Pyrenew_H_Flu",0,0.845161563497411,56.0057666703981,0.999684082698517,84.2842430484037,0.51081359423275,0.918640576725026,971
"CFA_Pyrenew-Pyrenew_H_Flu",1,0.802809908065409,83.3422430528814,0.971090019212897,130.878990731205,0.519052523171988,0.953656024716787,971
"CMU-TimeSeries",0,0.843499111038659,65.8835299321918,0.964698210057132,93.5501491077193,0.550295857988166,0.923076923076923,1352
"CMU-TimeSeries",1,0.706589776373419,91.00167407458,0.802068949471324,129.000351148419,0.550295857988166,0.92085798816568,1352
"CMU-TimeSeries",2,0.651867502478391,112.783226253725,0.748100604895631,160.582467730793,0.548816568047337,0.90310650887574,1352
"CMU-TimeSeries",3,0.637065293560525,139.461312622792,0.730811179978328,197.196799513312,0.50887573964497,0.869822485207101,1352
"CMU-climate_baseline",0,2.16699766291675,163.280013711255,2.76526980956167,257.525134141057,0.45,0.89,1300
"CMU-climate_baseline",1,1.30489886478344,154.886202163768,1.61997268540672,241.106527284018,0.483076923076923,0.900769230769231,1300
"CMU-climate_baseline",2,0.977327996520714,148.520896521001,1.19197631772747,227.635440790019,0.506923076923077,0.898461538461538,1300
"CMU-climate_baseline",3,0.809978375790205,155.824153727208,0.964849216631203,231.648223687388,0.508461538461538,0.872307692307692,1300
"CU-ensemble",0,0.889307789630407,72.2619615384615,1.03837733335522,105.248461538462,0.519230769230769,0.886153846153846,1300
"CU-ensemble",1,0.730274804989249,97.6924247491639,0.811739127724774,136.379230769231,0.526153846153846,0.852307692307692,1300
"CU-ensemble",2,0.683490678737362,123.046176588629,0.7484831404213,167.93,0.512307692307692,0.826923076923077,1300
"CU-ensemble",3,0.661448253225859,150.742924414716,0.716331782765735,201.372307692308,0.476153846153846,0.786923076923077,1300
"FluSight-baseline",0,1,78.4616780293285,1,97.4718934911243,0.255917159763314,0.790680473372781,1352
"FluSight-baseline",1,1,127.285155325444,1,160.292899408284,0.315828402366864,0.733727810650888,1352
"FluSight-baseline",2,1,172.157087728325,1,216.676035502959,0.333579881656805,0.685650887573965,1352
"FluSight-baseline",3,1,216.943940056599,1,270.827662721893,0.345414201183432,0.637573964497041,1352
"FluSight-ensemble",0,0.783134234064298,62.0041786724981,0.898674561316829,88.2100591715976,0.522189349112426,0.850591715976331,1352
"FluSight-ensemble",1,0.687206872229326,89.8536249035246,0.766194072130485,124.931213017751,0.536242603550296,0.82396449704142,1352
"FluSight-ensemble",2,0.654163732147681,114.854969771032,0.731315533316453,158.849852071006,0.503698224852071,0.807692307692308,1352
"FluSight-ensemble",3,0.637786490933011,142.553340944173,0.708914972367646,193.793639053254,0.497781065088757,0.780325443786982,1352
"FluSight-lop_norm",0,0.766127640009598,60.122023732956,0.907724325194655,89.3402366863905,0.586538461538462,0.951923076923077,1352
"FluSight-lop_norm",1,0.66353548591772,85.7959798687934,0.761984639387359,124.468934911243,0.609467455621302,0.928994082840237,1352
"FluSight-lop_norm",2,0.611302945822987,106.375185554412,0.720300491682602,156.781804733728,0.586538461538462,0.931213017751479,1352
"FluSight-lop_norm",3,0.575561354955576,127.119046822742,0.695490355185199,190.33875739645,0.585059171597633,0.927514792899408,1352
"FluSight-trained_mean",0,0.775032341438684,58.7754049309537,0.910113602694317,86.8705874762015,0.598901098901099,0.945054945054945,1092
"FluSight-trained_mean",1,0.685859723445261,75.1547177912576,0.784867800782895,110.981019893752,0.614468864468865,0.941391941391941,1092
"FluSight-trained_mean",2,0.65811566248452,93.2197155112959,0.756421367665275,137.402321708434,0.58974358974359,0.93040293040293,1092
"FluSight-trained_mean",3,0.617005607519713,107.813056126232,0.728037313923509,161.008726839966,0.573260073260073,0.912087912087912,1092
"FluSight-trained_med",0,0.782202117155827,59.237234725401,0.89434874007239,85.2433386359572,0.621794871794872,0.916666666666667,1092
"FluSight-trained_med",1,0.669906300374021,72.8234326991093,0.757576527302495,106.447104193539,0.637362637362637,0.923992673992674,1092
"FluSight-trained_med",2,0.637501241465323,89.5300777022265,0.729667017085182,131.675689146799,0.60989010989011,0.924908424908425,1092
