"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",0,0.702605329553788,21.9207929576079,0.990002718309665,35.9037844724522,0.6,1,5
"CADPH-FluCAT_Ensemble",1,0.499291487392596,25.3403038037714,0.8076792968685,38.948391481558,0.6,1,5
"CADPH-FluCAT_Ensemble",2,0.35932745521939,24.0493044447425,0.669221160242728,34.5336193346496,0.8,1,5
"CADPH-FluCAT_Ensemble",3,0.343808154067712,28.2870686683954,0.801069527702497,44.234412450517,1,1,5
"CEPH-Rtrend_fluH",0,0.813954516797786,7.11172408026756,1.12639418467082,11.0961538461538,0.480769230769231,0.861538461538462,260
"CEPH-Rtrend_fluH",1,0.674770022449536,8.96845484949833,1.2214009178312,14.55,0.523076923076923,0.953846153846154,260
"CEPH-Rtrend_fluH",2,0.626390454688182,10.6003846153846,1.4328027509929,18.0576923076923,0.507692307692308,0.976923076923077,260
"CEPH-Rtrend_fluH",3,0.601887116379201,12.1854615384615,1.54977431182424,20.6230769230769,0.438461538461538,0.95,260
"CFA_Pyrenew-Pyrenew_HE_Flu",0,0.792875865803495,6.33833264418811,1.08281887150527,9.77551020408163,0.43265306122449,0.869387755102041,245
"CFA_Pyrenew-Pyrenew_HE_Flu",1,0.631793092270087,7.72615574977817,1.08282149347388,11.7612244897959,0.493877551020408,0.897959183673469,245
"CFA_Pyrenew-Pyrenew_H_Flu",0,0.971365672692771,7.78649554569654,1.34746029069741,12.2163265306122,0.518367346938776,0.942857142857143,245
"CFA_Pyrenew-Pyrenew_H_Flu",1,0.896890228862298,11.2728333984028,1.53734221370235,17.2224489795918,0.538775510204082,0.955102040816327,245
"CMU-TimeSeries",0,0.90628955688891,7.90749315779945,1.27415683799079,12.530956364985,0.526923076923077,0.969230769230769,260
"CMU-TimeSeries",1,0.663201741685341,8.89491566118843,1.23481462719766,14.7679105218748,0.442307692307692,0.957692307692308,260
"CMU-TimeSeries",2,0.538545155191397,9.19412325997739,1.23857740990702,15.6336898644352,0.446153846153846,0.957692307692308,260
"CMU-TimeSeries",3,0.449213963791485,9.17801533839366,1.15198154454077,15.4057737545653,0.45,0.95,260
"CMU-climate_baseline",0,1.83925792255711,15.9590895707915,2.57125497618096,25.1865384615385,0.673076923076923,0.992307692307692,260
"CMU-climate_baseline",1,1.10983733702757,14.8479257190635,1.89160520515372,22.6682692307692,0.676923076923077,0.996153846153846,260
"CMU-climate_baseline",2,0.827954990482355,14.1080124637681,1.67256204095706,21.1692307692308,0.665384615384615,0.992307692307692,260
"CMU-climate_baseline",3,0.659213597837077,13.4345670011148,1.49272152583622,20.0057692307692,0.684615384615385,0.996153846153846,260
"CU-ensemble",0,0.899948536146504,7.74468227424749,1.08656860525427,10.8413461538462,0.740384615384615,0.985576923076923,208
"CU-ensemble",1,0.641127278171018,8.43968436454849,0.950815599921982,11.4567307692308,0.774038461538462,0.995192307692308,208
"CU-ensemble",2,0.523524800759484,8.83459866220736,0.875993679715042,11.2548076923077,0.846153846153846,0.990384615384615,208
"CU-ensemble",3,0.480892731660505,9.20988085284281,0.867657470111998,11.1634615384615,0.817307692307692,0.995192307692308,208
"FluSight-baseline",0,1,8.65646153846154,1,9.89615384615385,0.726923076923077,1,260
"FluSight-baseline",1,1,13.1337943143813,1,11.9384615384615,0.919230769230769,1,260
"FluSight-baseline",2,1,16.7081505016722,1,12.5923076923077,0.969230769230769,1,260
"FluSight-baseline",3,1,20.0216555183946,1,13.4846153846154,0.969230769230769,1,260
"FluSight-ensemble",0,0.737578257193471,6.46484280936455,1.01814672456696,10.0846153846154,0.688461538461538,0.984615384615385,260
"FluSight-ensemble",1,0.537298566355979,7.19598494983278,0.888487880812795,10.7,0.730769230769231,0.992307692307692,260
"FluSight-ensemble",2,0.445373778434627,7.57802341137124,0.930241354137186,11.8384615384615,0.75,0.996153846153846,260
"FluSight-ensemble",3,0.38665960934668,7.90310033444816,0.889714271073133,11.9692307692308,0.796153846153846,0.992307692307692,260
"FluSight-lop_norm",0,0.782128307343,6.82916387959866,0.982088311769344,9.72307692307692,0.776923076923077,0.996153846153846,260
"FluSight-lop_norm",1,0.576829645314695,7.70416053511706,0.873688232277431,10.5615384615385,0.819230769230769,1,260
"FluSight-lop_norm",2,0.473586677140877,8.03734113712375,0.901963035756071,11.4576923076923,0.811538461538462,1,260
"FluSight-lop_norm",3,0.424906956784536,8.65377926421405,0.893798702320281,12.0346153846154,0.857692307692308,1,260
"FluSight-trained_mean",0,0.815255412238678,7.13461577578931,1.05716492095334,10.4380995320084,0.565384615384615,0.942307692307692,260
"FluSight-trained_mean",1,0.591911388366665,7.9231019548294,0.978844959613516,11.7777034550441,0.580769230769231,0.953846153846154,260
"FluSight-trained_mean",2,0.473527680377901,8.02145279136402,1.00097754554303,12.6096689255823,0.588461538461538,0.95,260
"FluSight-trained_mean",3,0.414188678088826,8.44385467919078,1.00407902382761,13.3979077332114,0.623076923076923,0.953846153846154,260
"FluSight-trained_med",0,0.821811220656439,7.18173880335977,1.07984759835331,10.7029974632603,0.646153846153846,0.973076923076923,260
"FluSight-trained_med",1,0.603548310042887,8.05628792911561,0.985478757969712,11.8444352281001,0.653846153846154,0.980769230769231,260
"FluSight-trained_med",2,0.478408937722743,8.10031105043801,0.971350963806494,12.2940350330818,0.680769230769231,0.988461538461539,260
"FluSight-trained_med",3,0.416209879041162,8.47119024722207,0.94712172633416,12.6236406759442,0.738461538461539,0.992307692307692,260
